מוקד,עיר,סוג,סטטוס 26/27,תוכנית,היקף,ימים,שעות,רמז מאמן (חן),ודאות,מאמן 26/27,סטטוס שיבוץ,השלב הבא,הערה
בית ספר בית צורי,"ת""א","בי""ס קיים",ממשיך,"יוח""א",עירייה+ 2 שעות,,,ליז?,משוער,,,,
בית ספר מגן,"ת""א","בי""ס קיים",ממשיך,"יוח""א",עירייה+?,,,,חסר,,,,
בית ספר בלוך,"ת""א","בי""ס קיים",ממשיך,"יוח""א",עירייה+2/3 שעות,,,ליז?,משוער,,,פולואפ,
"חט""ב שמיר","ת""א","בי""ס קיים",ממשיך,,לא ידוע כנראה 3 שעות,,,,חסר,,,,
בית ספר כלנא,יפו,"בי""ס קיים",ממשיך,"יוח""א",עירייה+2/3 שעות,,,ביקשו את וואליד,בקשת ביה״ס,וליד אבו חמוד,מועמד,הצעת מחיר,
בית ספר מרחבים יבנה,יבנה,"בי""ס קיים",ממשיך,,לא ידוע,,,סיון?,משוער,,,פולואו אפ 5.8,
בית ספר זאב זבולון אוריאל,אריאל,"בי""ס קיים",ממשיך,,6 שעות טרם אושרו,רביעי לא סגור,,גילי,ודאי,,,ראשון 19.7,מנהלת עזבה. כיתות א-ב
בית ספר יוחנני,הרצליה,"בי""ס קיים",ממשיך,,5 שעות,חמישי,,אסף,ודאי,,,הזמנת עבודה,לבדוק אם אסף בעניין של עוד יום
בית ספר המתמיד,"ר""ג","בי""ס קיים",ממשיך,,8 שעות,,,ביקשו את וואליד,בקשת ביה״ס,וליד אבו חמוד,מועמד,,
בית ספר נווה זמר,רעננה,"בי""ס קיים",ממשיך,,12 שעות,כמו השנה,,תמיר,ודאי,תמיר חלף,סוכם,הצעת מחיר+הזמנת עבודה,
בית ספר נופי ים,"ת""א","בי""ס קיים",ממשיך,"יוח""א",עירייה+4 כנראה,,,,חסר,,,נקבעה פגישה,
בית הספר טבע,"ת""א","בי""ס קיים",ממשיך,,8 שעות,,,פיקאדו?,משוער,,,,
בית ספר יהודה מכבי,"ת""א","בי""ס קיים",ממשיך,"יוח""א",,,,,חסר,,,מנהל מתחלף,
בית ספר אלומות,"ת""א","בי""ס קיים",ממשיך,"יוח""א",רק עירייה,,,,חסר,,,,
בית ספר כפיר,"ת""א","בי""ס קיים",ממשיך,"יוח""א",רק עירייה,,,,חסר,,,,
בית ספר גבריאלי,"ת""א","בי""ס קיים",ממשיך,,4 שעות,,,"רוצים את מונטי, שאלו על שישי",בקשת ביה״ס,,,הסגנית תחזור אחרי בירורים,
בית ספר לפיד הוד השרון,הוד השרון,"בי""ס קיים",עוזב,,,,,,חסר,,,נשלח מייל עם פירוט+המלצות,
בית ספר רוקח,"ת""א","בי""ס קיים",לא ידוע,"יוח""א",,,,,חסר,,,דין ינסה,
בית ספר גבעון,"ת""א","בי""ס קיים",עוזב,"יוח""א",,,,,חסר,,,יחזרו אלינו במידה וירצו,
בית ספר שמיר חולון,חולון,"בי""ס קיים",עוזב,,,,,,חסר,,,,
בית ספר צמרות באר יעקב,באר יעקב,"בי""ס קיים",עוזב,,,,,,חסר,,,לעדכן את חי עד 16.7,
בית ספר ויצמן רחובות,רחובות,"בי""ס קיים",עוזב,,,,,,חסר,,,,
הדר רעננה,רעננה,"בי""ס חדש",חדש,,5 שעות,שני,1-5?,אסף זוהר,ודאי,אסף זוהר,סוכם,להוציא הזמנת עבודה,
גלים רחובות,רחובות,"בי""ס חדש",חדש,,5 שעות,חמישי,1-5?,,חסר,,,נשלחה הצעת מחיר,
עין הקורא,,"מרכז הצלח""ה",ממשיך,חצי שנתי · מחצית א',,רביעי,,ביקשה את תום,בקשת ביה״ס,,,,רכזת: ציפי
בילויים,,"מרכז הצלח""ה",ממשיך,חצי שנתי · מחצית א',,ראשון,,ביקשה את תום,בקשת ביה״ס,,,,רכזת: שירלי
